1996 Item,Predicted HS Code,Confidence Score
"Sharpening (tool or cutter grinding) machines, numerically controlled, for metals, sintered metal carbides or cermets",84603900,0.9347984790802002
Basic paper to be sensitized for use in photography,48101460,0.7978506088256836
"Ceramic wares for laboratory, chemical or other technical uses, of porcelain or china, other than machinery parts",69091140,0.9250355958938599
1/ Valued 95¢/kg or more,99040416,0.5343034863471985
"Unbleached woven fabrics of cotton, nesi, containing 85% or more cotton by weight, weighing more than 200g/m2",52091900,0.9541751146316528
"Desonide, epinephrine, epinephrine hydrochloride, nandrolone phenpropionate, and 1-thyroxine (levothyroxine), sodium",29379040,0.7103198766708374
"Electrical fixed resistors, other than composition or film type carbon resistors, for a power handling capacity exceeding 20 W",85332900,1.0
Missing description,70200060,0.3560498356819153
Saps and extracts of pyrethrum or of the roots of plants containing rotenone,13021200,0.525586724281311
Missing description,70200060,0.3560498356819153
1/ Any mixture containing ethyl,29012100,0.6184178590774536
Marble slabs,68029105,0.7546933889389038
"Men's or boys' shirts, knitted or crocheted, of cotton",61051000,1.0000001192092896
"Women's or girls' skirts and divided skirts, not knitted or crocheted, of artificial fibers, certified hand-loomed and folklore products",62045910,1.000000238418579
Described in additional U.S note 3 to this chapter and entered pursuant to its provisions,98220125,0.5367065668106079
"Brushes constituting parts of machines, appliances or vehicles, nesi",96035000,0.9159461259841919
Missing description,70200060,0.3560498356819153
"Mufflers and exhaust pipes, for motor vehicles of headings 8701 to 8705, other than tractors suitable for agricultural use",87089210,0.8130871057510376
1/ 3-Ethylamino-p-cresol (provided for in,29222915,0.6581494808197021
1/ 3-Aminopropanol (CAS No. 156-87-6),29242926,0.6612285375595093
"Woven fabrics of synthetic filament yarn nesi, containing 36 percent or more by weight of wool or fine animal hair, unbleached or bleached",54079105,0.9463165402412415
Missing description,70200060,0.3560498356819153
"Parts of machinery and plant, for making paper pulp, paper or paperbroad",84199020,0.9735381007194519
"Nonadhesive plates, sheets, film, foil, strip, cellular, of polymers of vinyl chloride, with man-made textile fibers, n/o 70% plastics",39211215,1.0
Saps and extracts of licorice,13021200,1.0
"Parts of machinery for preparing or making up tobacco, nesi",84789000,0.9485917687416077
Benzenesulfonyl chloride,29041008,1.0000001192092896
Other,9030000,0.3508177697658539
1/ If entered during the month of,8084040,0.44060003757476807
"Open railway or tramway freight cars, with nonremovable sides exceeding 60 cm in height, not self-propelled",86069200,0.9313946962356567
"Fabrics specified in note 9 to section XI, of synthetic filament yarn, over 60 percent by weight of plastics",54073010,0.978206992149353
Silver ores and concentrates,26161000,1.0
Missing description,70200060,0.3560498356819153
